state,year,month,average_temperature
Michigan,1974,11,2.4444444444444438
Michigan,1974,12,-2.833333333333334
Michigan,1975,1,-5.444444444444445
Michigan,1975,2,-5.555555555555555
Michigan,1975,3,-2.9444444444444446
Michigan,1975,4,2.666666666666665
Michigan,1975,5,14.833333333333334
Michigan,1975,6,18.055555555555557
Michigan,1975,7,20.611111111111107
Michigan,1975,8,19.388888888888893
Michigan,1975,9,12.333333333333336
Michigan,1975,10,9.888888888888888
Michigan,1975,11,4.777777777777779
Michigan,1975,12,-4.555555555555555
Michigan,1976,1,-9.5
Michigan,1976,2,-3.277777777777777
Michigan,1976,3,0.055555555555556344
Michigan,1976,4,7.222222222222222
Michigan,1976,5,10.61111111111111
Michigan,1976,6,19.0
Michigan,1976,7,19.944444444444446
Michigan,1976,8,18.5
Michigan,1976,9,13.722222222222223
Michigan,1976,10,5.944444444444446
Michigan,1976,11,-1.7777777777777775
Michigan,1976,12,-9.555555555555555
Michigan,1977,1,-13.0
Michigan,1977,2,-7.111111111111111
Michigan,1977,3,2.055555555555557
Michigan,1977,4,8.055555555555555
Michigan,1977,5,16.055555555555557
Michigan,1977,6,16.22222222222222
Michigan,1977,7,21.166666666666664
Michigan,1977,8,17.333333333333332
Michigan,1977,9,14.944444444444445
Michigan,1977,10,7.777777777777778
Michigan,1977,11,2.166666666666666
Michigan,1977,12,-5.666666666666667
Michigan,1978,1,-9.38888888888889
Michigan,1978,2,-10.777777777777779
Michigan,1978,3,-3.888888888888889
Michigan,1978,4,4.444444444444445
Michigan,1978,5,13.222222222222221
Michigan,1978,6,16.88888888888889
Michigan,1978,7,19.111111111111114
Michigan,1978,8,19.27777777777778
Michigan,1978,9,16.0
Michigan,1978,10,7.944444444444443
Michigan,1978,11,1.9444444444444444
Michigan,1978,12,-5.555555555555555
Michigan,1979,1,-10.944444444444445
Michigan,1979,2,-11.88888888888889
Michigan,1979,3,-0.22222222222222143
Michigan,1979,4,4.555555555555557
Michigan,1979,5,11.11111111111111
Michigan,1979,6,17.055555555555557
Michigan,1979,7,19.61111111111111
Michigan,1979,8,17.72222222222222
Michigan,1979,9,15.166666666666666
Michigan,1979,10,7.666666666666665
Michigan,1979,11,1.8333333333333317
Michigan,1979,12,-2.333333333333333
Michigan,1980,1,-6.888888888888888
Michigan,1980,2,-8.222222222222221
Michigan,1980,3,-3.166666666666666
Michigan,1980,4,5.888888888888889
Michigan,1980,5,13.444444444444446
Michigan,1980,6,15.722222222222221
Michigan,1980,7,20.27777777777778
Michigan,1980,8,20.166666666666668
Michigan,1980,9,14.444444444444445
Michigan,1980,10,5.999999999999998
Michigan,1980,11,1.2222222222222239
Michigan,1980,12,-6.555555555555555
Michigan,1981,1,-9.0
Michigan,1981,2,-4.555555555555555
Michigan,1981,3,0.11111111111111269
Michigan,1981,4,7.222222222222222
Michigan,1981,5,11.222222222222223
Michigan,1981,6,17.61111111111111
Michigan,1981,7,20.0
Michigan,1981,8,19.166666666666668
Michigan,1981,9,13.444444444444446
Michigan,1981,10,6.277777777777776
Michigan,1981,11,2.7222222222222214
Michigan,1981,12,-4.055555555555555
Michigan,1982,1,-11.555555555555555
Michigan,1982,2,-8.222222222222221
Michigan,1982,3,-2.4444444444444438
Michigan,1982,4,3.444444444444446
Michigan,1982,5,15.333333333333334
Michigan,1982,6,14.722222222222221
Michigan,1982,7,20.33333333333333
Michigan,1982,8,17.38888888888889
Michigan,1982,9,14.222222222222221
Michigan,1982,10,9.722222222222221
Michigan,1982,11,2.2222222222222223
Michigan,1982,12,-0.44444444444444486
Michigan,1983,1,-5.277777777777778
Michigan,1983,2,-2.999999999999999
Michigan,1983,3,0.38888888888889045
Michigan,1983,4,4.222222222222223
Michigan,1983,5,9.555555555555557
Michigan,1983,6,17.72222222222222
Michigan,1983,7,22.333333333333332
Michigan,1983,8,21.055555555555557
Michigan,1983,9,15.666666666666666
Michigan,1983,10,8.666666666666666
Michigan,1983,11,2.5555555555555562
Michigan,1983,12,-9.055555555555555
Michigan,1984,1,-10.333333333333334
Michigan,1984,2,-1.6666666666666667
Michigan,1984,3,-4.500000000000001
Michigan,1984,4,6.666666666666667
Michigan,1984,5,10.277777777777779
Michigan,1984,6,18.666666666666664
Michigan,1984,7,19.388888888888893
Michigan,1984,8,20.444444444444443
Michigan,1984,9,13.666666666666666
Michigan,1984,10,10.166666666666664
Michigan,1984,11,2.000000000000001
Michigan,1984,12,-2.7222222222222214
Michigan,1985,1,-8.88888888888889
Michigan,1985,2,-7.777777777777778
Michigan,1985,3,0.44444444444444287
Michigan,1985,4,8.166666666666668
Michigan,1985,5,13.61111111111111
Michigan,1985,6,15.555555555555555
Michigan,1985,7,19.333333333333332
Michigan,1985,8,18.166666666666668
Michigan,1985,9,15.5
Michigan,1985,10,8.944444444444445
Michigan,1985,11,1.2777777777777761
Michigan,1985,12,-7.944444444444445
Michigan,1986,1,-7.111111111111111
Michigan,1986,2,-7.000000000000001
Michigan,1986,3,0.16666666666666508
Michigan,1986,4,8.222222222222221
Michigan,1986,5,13.666666666666666
Michigan,1986,6,16.38888888888889
Michigan,1986,7,20.777777777777782
Michigan,1986,8,17.38888888888889
Michigan,1986,9,14.88888888888889
Michigan,1986,10,8.499999999999998
Michigan,1986,11,0.055555555555556344
Michigan,1986,12,-2.8888888888888884
