state,year,n_incidents,average_temperature,average_precipitation,poverty_rate,lawtotal,laws_1,laws_2,laws_3,laws_4,laws_5,laws_6,laws_7,laws_8,laws_9,laws_10,laws_11,laws_12,laws_13,laws_14
Florida,2017,18.498719662493293,22.689814814814813,1.2410016666666668,0.1546429384863455,21.0,1,1,1,0,1,8,3,0,3,2,0,0,0,1
Georgia,2015,25.662068093492064,18.50462962962963,1.17983,0.1837239577182061,6.0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
Georgia,2016,15.472888955327615,18.77314814814815,0.8657166666666667,0.1777275457582091,6.0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
Georgia,2017,17.88608046046571,18.791666666666668,1.0541,0.1690536637623987,6.0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
Idaho,2015,10.17528749729719,7.986111111111111,0.47667333333333334,0.1547434060628246,6.0,0,0,0,0,0,1,4,0,0,0,1,0,0,0
Idaho,2016,8.262104875236272,7.273148148148148,0.5266266666666667,0.1524493430127358,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Idaho,2017,8.499663797544995,6.810185185185186,0.610235,0.1450917490134068,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Illinois,2015,25.562036231211767,11.597222222222223,1.0329333333333333,0.1432743807030564,65.0,5,6,7,9,3,6,5,0,3,2,1,1,1,16
Illinois,2016,37.61935839298962,12.629629629629628,0.8413750000000001,0.1397558026281627,65.0,5,6,7,9,3,6,5,0,3,2,1,1,1,16
Illinois,2017,37.90644963685246,12.439814814814815,0.8001,0.1353280025800238,65.0,5,6,7,9,3,6,5,0,3,2,1,1,1,16
Indiana,2015,18.794199280857065,11.282407407407407,1.0056283333333333,0.1535884328183007,11.0,1,0,0,0,0,3,4,0,0,1,0,0,0,2
Indiana,2016,21.35868359363695,12.347222222222221,0.9182100000000001,0.1498990597167661,12.0,1,0,0,0,0,3,4,0,0,1,0,0,0,3
Indiana,2017,20.771760258741338,12.208333333333334,0.9654116666666667,0.1455839201145783,12.0,1,0,0,0,0,3,4,0,0,1,0,0,0,3
Iowa,2015,18.071362657643803,9.592592592592593,0.9002183333333335,0.1249285779681325,25.0,0,4,1,3,2,2,5,0,2,0,1,0,1,4
Iowa,2016,20.43833196385864,10.398148148148147,0.80645,0.1230377988214816,25.0,0,4,1,3,2,2,5,0,2,0,1,0,1,4
Iowa,2017,18.048415591029908,10.0,0.6849533333333334,0.1197944673676002,24.0,0,4,1,3,2,2,5,0,2,0,0,0,1,4
Kansas,2015,14.987911699199488,13.5,0.6938433333333333,0.13570209043983,4.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Kansas,2016,18.723091996685497,13.981481481481481,0.6493933333333334,0.1325059273323436,4.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
