state,year,is_weekend,n_incidents_per_day
Maryland,2015,1,0.06441617517440774
Maryland,2016,0,0.06029049575344466
Maryland,2016,1,0.05503487932645721
Maryland,2017,0,0.07047065587322879
Maryland,2017,1,0.06998304535407822
Massachusetts,2014,0,0.040056522073678075
Massachusetts,2014,1,0.046852141583373884
Massachusetts,2015,0,0.053478719516892384
Massachusetts,2015,1,0.05827275259925613
Massachusetts,2016,0,0.05949581154391194
Massachusetts,2016,1,0.06957569683859303
Massachusetts,2017,0,0.06772320972756717
Massachusetts,2017,1,0.07674734430392745
Michigan,2014,0,0.038993547534665184
Michigan,2014,1,0.03676275242977742
Michigan,2015,0,0.03434978383637525
Michigan,2015,1,0.03524064071512322
Michigan,2016,0,0.03262091936166763
Michigan,2016,1,0.04122417513855768
Michigan,2017,0,0.033977992907845395
Michigan,2017,1,0.04137337237128755
Minnesota,2014,0,0.033334192565026254
Minnesota,2014,1,0.033536938283227964
Minnesota,2015,0,0.02888223442207804
Minnesota,2015,1,0.02964229322265904
Minnesota,2016,0,0.034461597467701076
Minnesota,2016,1,0.03452390092075003
Minnesota,2017,0,0.044180417867558254
Minnesota,2017,1,0.05017944727896372
Mississippi,2014,0,0.07884378515796238
Mississippi,2014,1,0.08379113658587155
Mississippi,2015,0,0.06808919580102221
Mississippi,2015,1,0.07710791993922499
Mississippi,2016,0,0.08748625599725625
Mississippi,2016,1,0.0694018487172865
Mississippi,2017,0,0.09736745286359325
Mississippi,2017,1,0.09361697999969094
Missouri,2014,0,0.057578478483994444
Missouri,2014,1,0.06454690429894692
Missouri,2015,0,0.07087766629892907
Missouri,2015,1,0.07579289974545673
Missouri,2016,0,0.06721772173831299
Missouri,2016,1,0.06828931418636254
Missouri,2017,0,0.07083069537729769
Missouri,2017,1,0.08296938702544375
Montana,2014,0,0.11166065719046579
Montana,2014,1,0.12640237316785877
Montana,2015,0,0.10809811500840984
Montana,2015,1,0.10782513997050983
Montana,2016,0,0.11354258183079378
Montana,2016,1,0.12998313666602185
Montana,2017,0,0.11467146722928638
Montana,2017,1,0.11812489365549655
Nebraska,2014,0,0.09033445689185887
Nebraska,2014,1,0.09414202093366536
Nebraska,2015,0,0.08148440923307156
Nebraska,2015,1,0.09592913752378494
Nebraska,2016,0,0.08340630922021718
Nebraska,2016,1,0.08869262459332954
Nebraska,2017,0,0.09312959729523813
Nebraska,2017,1,0.10297638572324669
Nevada,2014,0,0.05738454887881284
Nevada,2014,1,0.058960598154924826
Nevada,2015,0,0.06069584997623885
Nevada,2015,1,0.06278473312477176
Nevada,2016,0,0.06385274842176666
Nevada,2016,1,0.06610213484923645
Nevada,2017,0,0.05535758876496621
Nevada,2017,1,0.058798805238430785
New Hampshire,2014,0,0.10513958236328927
New Hampshire,2014,1,0.11489295638677738
New Hampshire,2015,0,0.09554276306998273
New Hampshire,2015,1,0.09478554769833253
New Hampshire,2016,0,0.10476366434802173
New Hampshire,2016,1,0.11666762788609883
New Hampshire,2017,0,0.09631360774983358
New Hampshire,2017,1,0.0942204612984358
New Jersey,2014,0,0.048353299500882956
New Jersey,2014,1,0.045814349779552975
New Jersey,2015,0,0.033781087996473745
New Jersey,2015,1,0.03874819547074479
New Jersey,2016,0,0.035107050495807375
New Jersey,2016,1,0.04368251122471445
New Jersey,2017,0,0.040020145123670234
New Jersey,2017,1,0.04217615521349589
New Mexico,2014,0,0.07142262144252987
New Mexico,2014,1,0.07845374078733412
New Mexico,2015,0,0.07915824812561552
New Mexico,2015,1,0.08281080664008653
New Mexico,2016,0,0.07446707866954277
New Mexico,2016,1,0.08113144757771197
New Mexico,2017,0,0.07996653921854611
New Mexico,2017,1,0.09561216645695732
New York,2014,0,0.02414120487918991
New York,2014,1,0.02979876153567797
New York,2015,0,0.03659716320313046
New York,2015,1,0.044861142348120754
New York,2016,0,0.03138289687128738
New York,2016,1,0.038612474504973765
New York,2017,0,0.025364260127786354
New York,2017,1,0.032101066518765896
North Carolina,2014,0,0.05515782550193593
North Carolina,2014,1,0.06001442529793895
North Carolina,2015,0,0.04645455242340091
North Carolina,2015,1,0.05329288778884189
North Carolina,2016,0,0.051851251009716944
North Carolina,2016,1,0.05636562303230283
North Carolina,2017,0,0.05247480549104844
North Carolina,2017,1,0.05898914503734826
North Dakota,2014,0,0.17107902776623052
North Dakota,2014,1,0.16643220273266884
North Dakota,2015,0,0.1661876489540737
North Dakota,2015,1,0.1823447814912753
North Dakota,2016,0,0.1566496448752551
North Dakota,2016,1,0.17457765301294842
North Dakota,2017,0,0.15398533927109634
North Dakota,2017,1,0.15809802436435835
Ohio,2014,0,0.052584030571979766
Ohio,2014,1,0.05643580307236181
Ohio,2015,0,0.04659448962870853
Ohio,2015,1,0.04997470841013279
Ohio,2016,0,0.05157133562023556
Ohio,2016,1,0.06123072864116857
Ohio,2017,0,0.05953746866429335
Ohio,2017,1,0.06077124343967688
Oklahoma,2014,0,0.056002327891873184
Oklahoma,2014,1,0.05571983868312397
Oklahoma,2015,0,0.06479942021571386
Oklahoma,2015,1,0.0602520924812778
