state,year,month,n_incidents,average_temperature
Indiana,2015,3,1.5434849650945415,2.8888888888888906
Indiana,2015,4,1.2105764432114052,11.61111111111111
Indiana,2015,5,1.7704680481966801,18.333333333333332
Indiana,2015,6,1.6494104038755395,21.666666666666668
Indiana,2015,7,1.70993922603611,22.722222222222225
Indiana,2015,8,1.8158646648171077,21.444444444444443
Indiana,2015,9,1.7553358426565375,20.444444444444443
Indiana,2015,10,1.6645426094156819,13.11111111111111
Indiana,2015,11,1.7402036371163947,8.11111111111111
Indiana,2015,12,1.6191459927952543,5.833333333333333
Indiana,2016,1,1.6279024898467118,-2.5
Indiana,2016,2,1.145561011373612,1.0555555555555547
Indiana,2016,3,1.673122003453565,8.499999999999998
Indiana,2016,4,1.8540000578809774,11.11111111111111
Indiana,2016,5,1.8841464002855461,15.88888888888889
Indiana,2016,6,1.5374634626330055,22.722222222222225
Indiana,2016,7,1.9444390850946836,23.666666666666664
Indiana,2016,8,2.0650244547129586,24.27777777777778
Indiana,2016,9,1.8992195714878304,21.055555555555557
Indiana,2016,10,2.1102439683198115,15.277777777777779
Indiana,2016,11,1.869073229083262,8.333333333333334
Indiana,2016,12,1.7484878594649869,-1.2222222222222219
Indiana,2017,1,2.057650871617905,0.9999999999999984
Indiana,2017,2,1.6070703887818678,5.166666666666665
Indiana,2017,3,1.4118188462195846,5.888888888888889
Indiana,2017,4,1.8023219313441505,13.88888888888889
Indiana,2017,5,1.967534775050698,16.055555555555557
Indiana,2017,6,1.8323606301998865,21.722222222222218
Indiana,2017,7,1.7122058347769433,23.444444444444443
Indiana,2017,8,1.7873025819162827,21.11111111111111
Indiana,2017,9,1.7873025819162827,19.555555555555557
Indiana,2017,10,1.8473799796277544,14.222222222222221
Indiana,2017,11,1.5920510393539997,5.777777777777777
Indiana,2017,12,1.3667607979359808,-1.3333333333333326
Iowa,2014,1,1.5437310048724011,-9.88888888888889
Iowa,2014,2,1.6723752552784343,-10.444444444444445
Iowa,2014,3,1.3186035666618425,-1.2777777777777781
Iowa,2014,4,1.3507646292633508,8.61111111111111
Iowa,2014,5,1.4150867544663677,15.555555555555555
Iowa,2014,6,1.189959316255809,21.22222222222222
Iowa,2014,7,1.9296637560905012,20.444444444444443
Iowa,2014,8,1.447247817067876,21.77777777777778
Iowa,2014,9,1.9618248186920095,16.666666666666668
Iowa,2014,10,1.6080531300754177,10.666666666666668
Iowa,2014,11,1.1256371910527925,-1.4999999999999996
Iowa,2014,12,1.0613150658497756,-2.1111111111111116
Iowa,2015,1,1.3777811955295807,-5.777777777777777
Iowa,2015,2,0.672869886188865,-9.722222222222221
Iowa,2015,3,1.121449810314775,2.944444444444443
Iowa,2015,4,1.8584025428073414,10.61111111111111
Iowa,2015,5,1.0573669640110734,15.555555555555555
Iowa,2015,6,1.5379883112888342,20.777777777777782
Iowa,2015,7,1.5059468881369835,22.22222222222222
Iowa,2015,8,2.0506510817184456,20.500000000000004
Iowa,2015,9,2.274941043781401,20.222222222222225
Iowa,2015,10,1.666154003896237,11.666666666666666
Iowa,2015,11,1.34573977237773,5.555555555555555
Iowa,2015,12,1.6020711575925355,0.5555555555555556
Iowa,2016,1,1.756419153144102,-6.888888888888888
Iowa,2016,2,1.4370702162088107,-1.8888888888888882
Iowa,2016,3,2.1396378774664515,5.777777777777777
Iowa,2016,4,1.46900510990234,10.055555555555555
Iowa,2016,5,1.4051353225152816,15.277777777777779
Iowa,2016,6,1.724484259450573,22.77777777777778
Iowa,2016,7,1.564809790982927,22.666666666666668
Iowa,2016,8,2.0757680900793933,22.22222222222222
Iowa,2016,9,1.7883540468376313,19.61111111111111
Iowa,2016,10,1.8202889405311602,12.944444444444443
Iowa,2016,11,1.7883540468376313,7.277777777777778
Iowa,2016,12,1.46900510990234,-5.055555555555556
Iowa,2017,1,1.4960767773869585,-4.333333333333333
Iowa,2017,2,1.6870653021597617,1.3888888888888888
Iowa,2017,3,1.3369196734096227,3.0555555555555554
Iowa,2017,4,1.1459311486368193,10.61111111111111
Iowa,2017,5,1.6870653021597617,14.722222222222221
Iowa,2017,6,1.4960767773869585,21.722222222222218
Iowa,2017,7,1.9098852477280324,23.72222222222222
Iowa,2017,8,1.7188967229552292,19.88888888888889
Iowa,2017,9,1.4960767773869585,19.27777777777778
Iowa,2017,10,1.6234024605688275,11.833333333333332
Iowa,2017,11,1.36875109420509,2.333333333333335
Iowa,2017,12,1.082268307045885,-4.222222222222223
Kansas,2014,1,0.7240193416595557,-1.3333333333333326
Kansas,2014,2,0.5861108956291642,-2.333333333333333
Kansas,2014,3,0.31029400356838105,4.777777777777779
Kansas,2014,4,0.3792482265835768,12.222222222222221
Kansas,2014,5,1.2411760142735242,18.166666666666668
Kansas,2014,6,0.965359122212741,23.111111111111107
Kansas,2014,7,1.5514700178419052,24.111111111111114
Kansas,2014,8,1.5514700178419052,25.72222222222222
Kansas,2014,9,1.5169929063343073,20.11111111111111
Kansas,2014,10,1.31013023728872,14.944444444444445
Kansas,2014,11,0.8274506761823495,3.611111111111111
Kansas,2014,12,1.3790844603039158,1.4444444444444453
Kansas,2015,1,1.2031580492476655,0.055555555555556344
Kansas,2015,2,0.6531429410201611,-0.44444444444444486
Kansas,2015,3,1.0312783279265703,8.222222222222221
Kansas,2015,4,1.3062858820403223,13.555555555555555
Kansas,2015,5,1.2719099377761034,16.5
Kansas,2015,6,1.1000302164550082,24.333333333333332
Kansas,2015,7,1.7531731574751694,26.055555555555557
Kansas,2015,8,1.5125415476256363,24.0
Kansas,2015,9,1.1000302164550082,23.444444444444443
Kansas,2015,10,1.7531731574751694,15.11111111111111
Kansas,2015,11,1.1344061607192273,8.055555555555555
Kansas,2015,12,1.1687821049834464,3.111111111111112
Kansas,2016,1,1.5115890786314896,0.0
Kansas,2016,2,0.6183773503492458,4.8888888888888875
Kansas,2016,3,1.8207777538061125,9.833333333333336
Kansas,2016,4,1.2024004034568667,13.499999999999998
Kansas,2016,5,1.5115890786314896,16.444444444444443
Kansas,2016,6,1.2367547006984916,25.27777777777778
Kansas,2016,7,1.9238406455309867,26.5
Kansas,2016,8,1.9925492400142364,24.66666666666667
Kansas,2016,9,1.6490062675979889,21.555555555555557
Kansas,2016,10,1.6833605648396137,16.38888888888889
Kansas,2016,11,1.9581949427726115,9.944444444444445
Kansas,2016,12,1.614651970356364,-1.2222222222222219
Kansas,2017,1,1.6158321294810978,0.5555555555555556
Kansas,2017,2,1.409555687419681,6.166666666666668
Kansas,2017,3,1.6158321294810978,9.38888888888889
Kansas,2017,4,1.8908673855629867,13.11111111111111
Kansas,2017,5,1.2720380593787366,16.77777777777778
Kansas,2017,6,1.2032792453582644,23.944444444444443
Kansas,2017,7,1.6158321294810978,26.722222222222218
Kansas,2017,8,1.7533497575220423,22.83333333333333
Kansas,2017,9,1.7877291645322786,21.38888888888889
Kansas,2017,10,1.1688998383480282,14.222222222222221
Kansas,2017,11,1.68459094350157,7.333333333333335
Kansas,2017,12,1.5126939084503896,0.8888888888888897
Kentucky,2014,1,2.0841125157979126,-2.8888888888888884
Kentucky,2014,2,1.4271640053833534,0.6666666666666683
Kentucky,2014,3,1.4498174022942,5.277777777777778
Kentucky,2014,4,1.676351371402669,14.11111111111111
Kentucky,2014,5,1.8575785466894439,18.944444444444443
Kentucky,2014,6,1.5857377837592814,23.388888888888886
Kentucky,2014,7,2.4692202632823097,22.555555555555554
Kentucky,2014,8,2.3332998818172284,23.944444444444443
Kentucky,2014,9,2.0161523250653723,20.11111111111111
Kentucky,2014,10,1.834925149778597,14.222222222222221
Kentucky,2014,11,1.0420562578989563,4.333333333333332
Kentucky,2014,12,1.110016448631497,4.2777777777777795
Kentucky,2015,1,1.19747599173606,0.11111111111111269
Kentucky,2015,2,1.0619126719168834,-3.166666666666666
Kentucky,2015,3,1.5363842912840016,6.944444444444445
Kentucky,2015,4,1.965668137378061,14.11111111111111
Kentucky,2015,5,1.5815720645570606,19.61111111111111
Kentucky,2015,6,1.7623231576492957,23.444444444444443
Kentucky,2015,7,1.8301048175588843,24.72222222222222
Kentucky,2015,8,2.078637570560708,22.666666666666668
Kentucky,2015,9,1.4911965180109426,21.22222222222222
Kentucky,2015,10,2.0334497972876493,14.333333333333334
Kentucky,2015,11,1.6719476111031781,10.5
Kentucky,2015,12,1.0167248986438246,9.277777777777779
Kentucky,2016,1,1.7349446237220554,-0.22222222222222143
Kentucky,2016,2,1.329373153241575,3.8333333333333326
Kentucky,2016,3,1.622285881921922,10.999999999999998
Kentucky,2016,4,1.8250716171621624,14.055555555555554
Kentucky,2016,5,1.847603365522189,17.166666666666668
Kentucky,2016,6,1.5997541335618952,23.833333333333336
Kentucky,2016,7,1.7349446237220554,25.500000000000004
Kentucky,2016,8,2.2081113392826164,25.555555555555557
Kentucky,2016,9,2.0503891007624295,22.333333333333332
Kentucky,2016,10,2.1179843458425096,17.055555555555557
Kentucky,2016,11,1.6448176302819486,9.944444444444445
Kentucky,2016,12,1.8025398688021357,2.7777777777777777
Kentucky,2017,1,1.9540602677107488,4.944444444444444
Kentucky,2017,2,2.1562044333359984,7.88888888888889
